train,test
2.134761761224482512e+01,5.896336662524762851e+00
6.049922257849797091e+00,4.834701582148845489e+00
4.923887674026973471e+00,4.693129707376098914e+00
4.759097750394878368e+00,3.679885307048034626e+00
3.718080305660083518e+00,2.794786397383935306e+00
2.816573919533994719e+00,2.335769372173925884e+00
2.338793757856076461e+00,2.070648462658453148e+00
2.063231380854340102e+00,1.898222348878230159e+00
1.889458254605147491e+00,1.788826159705280805e+00
1.783245931166707710e+00,1.716597924280431231e+00
1.715483558133935604e+00,1.667172779337174005e+00
1.668685095946451646e+00,1.637435773019792817e+00
1.638987149514806507e+00,1.620129304333900455e+00
1.621035341681498210e+00,1.610687478989235588e+00
1.611195351016592170e+00,1.606028108597443049e+00
1.606206052500627202e+00,1.605908144973147822e+00
1.605925368950872567e+00,1.608671587415748894e+00
1.608471901856679542e+00,1.611632770311829166e+00
1.610821226223385194e+00,1.613785533031959929e+00
1.612750835645588854e+00,1.614736692436673726e+00
1.613631893014910279e+00,1.616211551131961022e+00
1.614373733196626803e+00,1.617339913675472474e+00
1.614845915029701429e+00,1.619316145838325616e+00
1.616119787113455164e+00,1.621901587835137715e+00
1.618059002064291985e+00,1.623953125034846456e+00
1.619671981348654199e+00,1.624640634296981467e+00
1.620215241350215329e+00,1.623920743050457638e+00
1.619682824439111490e+00,1.621996078000060182e+00
1.618128889942216819e+00,1.618915718068502096e+00
1.615607909501964645e+00,1.616183578709239788e+00
1.613342668467665941e+00,1.614007559490540089e+00
1.611598317899035404e+00,1.612580946545179028e+00
1.610641011177160742e+00,1.611744439993890721e+00
1.610422783145254444e+00,1.611262856948822986e+00
1.610281508336915524e+00,1.610516443010302057e+00
1.609875305835815507e+00,1.609782104368554734e+00
1.609338909854841404e+00,1.608771620467597474e+00
1.608446968745740557e+00,1.607669250455651344e+00
1.607494624796948601e+00,1.606595723118693586e+00
1.606578732236037865e+00,1.605620983518647904e+00
1.605734367403963692e+00,1.604686541971213742e+00
1.604920092744945848e+00,1.603750710960015979e+00
1.604081862495249533e+00,1.602735794904254885e+00
1.603186338817816914e+00,1.601625048060392409e+00
1.602210618336031622e+00,1.600434913898072464e+00
1.601149081521315631e+00,1.599140935165688227e+00
1.599983270667456603e+00,1.597720961452262500e+00
1.598703064761375803e+00,1.596203801138698530e+00
1.597319464259484567e+00,1.594615424105105594e+00
1.595824404590741263e+00,1.592923329782917730e+00
1.594219739284872039e+00,1.591118233389040348e+00
1.592486419401740738e+00,1.589191050846038067e+00
1.590621730916022880e+00,1.587138631430442315e+00
1.588649796279835158e+00,1.584957450353703612e+00
1.586540817009494564e+00,1.582628888820071245e+00
1.584289272710312391e+00,1.580110927451291003e+00
1.581874183130888678e+00,1.577474783972138139e+00
1.579315844947514869e+00,1.574705109228492717e+00
1.576612632013862481e+00,1.571899056435100972e+00
1.573775803137212659e+00,1.568896683186534302e+00
1.570798221067384093e+00,1.565810963482672902e+00
1.567674646990832033e+00,1.562559366215444001e+00
1.564357915645007147e+00,1.559041500916017897e+00
1.560836126774264310e+00,1.555219168846097455e+00
1.557075441144648575e+00,1.551173930658684696e+00
1.553072612318602053e+00,1.547026432117291739e+00
1.548856335772868853e+00,1.542671375408137147e+00
1.544378795224379486e+00,1.537985327222251231e+00
1.539587103612449992e+00,1.532960448367098660e+00
1.534449528702595433e+00,1.527615410838004006e+00
1.528977382643623928e+00,1.521873838905110077e+00
1.523113780301452280e+00,1.515789549639820821e+00
1.516848828623452272e+00,1.509271763767072061e+00
1.510159680608722077e+00,1.502423498736078722e+00
1.503065575863210990e+00,1.495213589767692586e+00
1.495558015469276469e+00,1.487635994002226569e+00
1.487666153407672498e+00,1.479738242192734754e+00
1.479448139826331055e+00,1.471519647216175120e+00
1.470960378049128714e+00,1.462975708085641591e+00
1.462222781852277276e+00,1.454243644941624947e+00
1.453295714678432882e+00,1.445398374546070119e+00
1.444214087109241040e+00,1.436424825017202478e+00
1.435079833572803443e+00,1.427461065311959487e+00
1.425959017656609040e+00,1.418526666545319781e+00
1.416789942968222915e+00,1.409551500422479675e+00
1.407582971467427280e+00,1.400325956100118674e+00
1.398239112631955106e+00,1.390740003560567928e+00
1.388543710883008320e+00,1.380664881677496458e+00
1.378273324207775596e+00,1.369843087583907604e+00
1.367239470741886898e+00,1.358095163596264143e+00
1.355396453555019587e+00,1.345578788459298014e+00
1.342745358021596447e+00,1.332121677043447194e+00
1.329334562196373026e+00,1.317962011631964137e+00
1.315284918770708300e+00,1.303256500501659421e+00
1.300814605341808594e+00,1.287976456287733606e+00
1.286186473861416824e+00,1.272657965795517265e+00
1.271622027270086663e+00,1.257357732310821374e+00
1.257243561744987970e+00,1.242138519462905988e+00
1.243095184466263436e+00,1.226968929257305607e+00
1.229093988568245033e+00,1.211765415965980530e+00
1.214952596543495300e+00,1.196154431520562333e+00
1.200364235879306962e+00,1.179582496877203734e+00
1.184936494644453164e+00,1.161754343688107038e+00
1.168387994638700578e+00,1.142381987753386730e+00
1.150472440118545991e+00,1.121647359101131558e+00
1.131175036317111138e+00,1.099424048041465651e+00
1.110750558049908188e+00,1.076473912923207266e+00
1.089561280902698437e+00,1.053312522719471067e+00
1.068043305304902990e+00,1.030451509165433821e+00
1.046791666737843407e+00,1.008176080215869908e+00
1.025964774837003990e+00,9.863728656977986953e-01
1.005610316847493024e+00,9.646390496810046677e-01
9.853449805048820620e-01,9.427636084566981545e-01
9.648914937898905864e-01,9.208866915516428220e-01
9.443195937276146479e-01,8.992567340852187785e-01
9.240211476305816296e-01,8.784187163084974381e-01
9.046796903603577800e-01,8.595909605054595781e-01
8.871050419800696751e-01,8.433472803647967808e-01
8.716734281154663311e-01,8.292190035142568139e-01
8.582115065747907279e-01,8.165706508048674594e-01
8.461992010207314285e-01,8.046296044530666380e-01
8.348450882504521164e-01,7.929369921881287420e-01
8.235676294347066273e-01,7.813968505037863777e-01
8.122380966662823276e-01,7.702437206709784601e-01
8.013178500221088685e-01,7.598494956628747410e-01
7.913202471161649987e-01,7.506226667440845102e-01
7.825999111380828044e-01,7.424605411050233528e-01
7.748234710828844074e-01,7.345743257479089294e-01
7.672733833930381886e-01,7.260636533172063478e-01
7.592649866702030348e-01,7.168517663809731433e-01
7.505225030899042027e-01,7.074265264811172571e-01
7.414428747993281332e-01,6.989732739890923696e-01
7.329078155364162628e-01,6.918465328973895101e-01
7.253345437946078222e-01,6.856745139572987258e-01
7.185085462268515633e-01,6.795288971544799494e-01
7.115605636939940082e-01,6.725367821830668946e-01
7.036825393920800309e-01,6.643005083638892083e-01
6.945292192916279195e-01,6.549626154193047833e-01
